Exploration_task0 Actions Max,Epoch Time (s),_task0 Returns Min,Policy log std Mean,VF Loss,Policy mu Std,V Predictions Max,R Predictions Min,R Predictions Max,(Previous) Eval Time (s),AverageReturn__task0,R Predictions Std,_task0 Rewards Mean,Policy Loss,_task0 Actions Max,KL Loss,Number of rollouts total,Exploration_task0 Actions Std,_task0 Rewards Max,Q Predictions Min,Policy log std Min,Z variance train,Log Pis Max,Num Paths,_task0 Rewards Min,_task0 Actions Std,Number of env steps total,Total Train Time (s),Z mean train,Q Predictions Mean,QF Loss,Policy mu Mean,_task0 Actions Min,V Predictions Mean,Log Pis Mean,Log Pis Min,Exploration_task0 Returns Max,AverageReturn_all_train_tasks,Exploration_task0 Returns Std,R Predictions Mean,Number of train steps total,Exploration_task0 Returns Mean,Log Pis Std,Exploration_task0 Rewards Max,Q Predictions Std,Policy log std Std,_task0 Rewards Std,Epoch,Policy mu Max,V Predictions Min,Q Predictions Max,_task0 Actions Mean,Policy log std Max,Train Time (s),Sample Time (s),Exploration_task0 Actions Min,RF Loss,_task0 Returns Max,Exploration_task0 Rewards Mean,Exploration_task0 Rewards Min,Exploration_task0 Returns Min,_task0 Returns Mean,Exploration_task0 Rewards Std,V Predictions Std,Exploration_task0 Actions Mean,_task0 Returns Std,KL Divergence,AverageReturn_all_test_tasks,Policy mu Min
1.0,228.29566336499556,-95.4654183762,-0.731706,99798.6,4.11965,121160.0,-19.9196,7997.21,25.513598822999484,3604.09447802,1106.7,24.0272965201,-22241.2,1.0,0.00038021724321879447,3999,0.80749,344.032159268,329.426,-2.13147,0.995068,47.2828,363,-0.863071344938,0.769007,551000,2519.2220833100455,0.00192243,21863.4,1.36893e+07,-1.27052,-1.0,22308.9,20.049,1.58099,712001.601508,553.26294178,96939.7923648,366.405,11000,33635.7295585,5.87111,6006.15714828,28402.7,0.353629,66.370176502,10,19.1355,484.178,117943.0,-0.139221,1.56599,96.38672621200021,106.39533832999587,-1.0,157588.0,39035.6010614,221.995815086,-10.3638176842,-1413.25287449,3604.09447802,691.507183716,28881.3,-0.156165,9399.86088423,0.0038021723739802837,3604.09447802,-24.3951
1.0,229.45561741900383,-122.057571983,-0.759917,177372.0,4.75046,134326.0,-12.8345,11451.5,25.602440688999195,5377.86326273,1607.98,35.8524217515,-25914.3,1.0,0.0006270862650126219,4362,0.826777,556.386148075,385.87,-2.04408,0.997385,42.1002,363,-0.93799859464,0.773319,601000,2748.5337601390474,0.00622651,25374.4,3.86842e+07,-1.10883,-1.0,26172.1,20.8955,0.423662,773371.589667,4572.08392033,114941.577153,573.989,12000,53466.0065746,5.51534,7012.57295164,33001.0,0.351146,99.2244021552,11,23.977,587.183,129739.0,-0.185333,1.59284,97.90164427299896,105.95153245700567,-1.0,996766.0,45338.9118801,352.875643392,-9.48809662131,-1652.89343294,5377.86326273,844.861262926,33685.1,-0.183594,13939.5679736,0.006270862650126219,5377.86326273,-27.239
1.0,229.4030460659942,-124.287492709,-0.70782,137290.0,4.47541,143830.0,-12.745,4921.45,25.45902824500081,4926.67779871,939.582,32.8445186581,-26954.5,1.0,6.59323632135056e-05,4725,0.808185,461.23460955,480.383,-2.13508,0.997453,41.5401,363,-0.938001814443,0.743408,651000,2977.50923624604,0.00250361,26421.9,3.72622e+07,-1.06623,-1.0,26798.7,18.7946,0.397425,802602.299233,542.093906849,129538.847713,405.161,13000,63536.7673808,5.48163,6484.32537513,34717.2,0.400288,77.3563109836,12,29.0973,732.774,140286.0,-0.119971,2.0,97.87110204999954,106.07291577099386,-1.0,66185.6,32743.9128671,419.342664713,-11.8735395748,-1725.97509218,4926.67779871,947.067383424,34993.7,-0.146177,10980.8239047,0.0006593235884793103,4926.67779871,-28.9743
1.0,226.68444300700503,-113.4844224,-0.683151,163878.0,4.21345,152528.0,-39.094,4764.7,25.031812431996514,7376.43739584,936.562,49.1762493056,-31243.3,0.999943,0.0006577323656529188,5088,0.838726,215.973258362,767.165,-1.6996,1.0016,42.7671,363,-0.874246419001,0.828049,701000,3204.7826802820437,0.00843038,30657.3,2.98865e+07,-1.28892,-0.999994,31013.5,20.5471,2.16832,330187.301039,3175.83850958,104752.69952,399.586,14000,58660.8196585,4.83087,5278.85744413,38466.1,0.27097,76.1481430641,13,31.2035,583.655,149715.0,-0.164995,2.0,96.49634537400198,105.15628520100654,-1.0,126215.0,29573.9333381,387.161409746,-10.0395418347,-1403.32198649,7376.43739584,784.49897572,38667.8,-0.148791,11309.3345041,0.006577323656529188,7376.43739584,-25.5613
1.0,228.9127178609997,-108.106520759,-0.621923,106120.0,5.09722,161282.0,-18.4193,3538.68,25.620507850999275,7457.18880829,663.179,49.7145920553,-31264.0,0.999898,0.0003497630241326988,5451,0.828864,343.626188389,1053.9,-1.74201,0.986115,41.9188,363,-0.917872195624,0.795309,751000,3433.424966309043,0.00318201,30708.9,4.19366e+07,-1.32982,-1.0,31298.5,19.7483,-0.855934,462324.878437,10962.1070333,106574.717534,334.803,15000,56648.4856171,4.70765,5745.35747078,39600.9,0.305921,95.8413407463,14,39.4706,1243.62,157254.0,-0.206222,2.0,96.96523732200149,106.32697268799893,-1.0,149291.0,40058.2629141,373.880005073,-9.38006244882,-1530.81221175,7457.18880829,732.682018253,40049.3,-0.141734,14048.8075233,0.003497630124911666,7457.18880829,-44.1889
1.0,228.65963762300453,-102.793506524,-0.70075,68301.3,3.75668,164679.0,-30.7129,5458.9,25.350924821999797,1672.19656941,776.347,11.1479771294,-33307.1,0.99987,0.00012029563367832452,5814,0.813824,133.015278473,1286.36,-2.45249,1.0027,52.063,363,-0.809564276941,0.769586,801000,3662.4195942140377,0.00179843,32870.5,2.81277e+07,-1.2194,-1.0,33345.3,18.6446,2.97435,837954.074724,4554.44289877,161022.567104,385.545,16000,82650.2613827,5.18858,9082.27643274,41486.0,0.213929,26.0096341997,15,24.9158,1436.43,161686.0,-0.157488,2.0,96.520849438999,106.78786336200574,-1.0,21768.0,12368.6105362,545.491725126,-10.0027437484,-1471.43280685,1672.19656941,1135.93541281,41960.1,-0.15378,3573.48686037,0.0012029563076794147,1672.19656941,-28.1003
1.0,228.618153463005,-112.056695993,-0.684732,204641.0,4.13643,168628.0,-45.6031,3629.0,25.68547533999663,5444.08154548,913.985,36.2938769699,-36879.4,0.999942,2.506691453163512e-05,6177,0.838121,397.424352164,1573.06,-2.33967,0.998525,45.4341,363,-0.85423213013,0.74057,851000,3890.7795581350383,0.00158333,36325.8,3.49384e+07,-1.34898,-0.999999,36634.8,19.7428,4.29454,535111.128316,10227.2125792,117537.078288,484.625,17000,59320.4646985,4.79122,6494.6275961,45559.8,0.304432,74.9468805758,16,28.2697,1672.5,166320.0,-0.187563,2.0,96.32476790899818,106.60791021401019,-1.0,13142.2,43975.3451429,391.51506701,-9.38006686314,-1187.11668809,5444.08154548,826.050124212,45850.8,-0.198697,10920.9370394,0.0002506691380403936,5444.08154548,-31.7635
1.0,229.48541271399154,-89.3858750432,-0.67681,105329.0,5.38453,169336.0,-9.94616,5722.29,25.428484537998884,2711.66983366,1207.78,18.0777988911,-37544.9,1.0,0.00037260210956446826,6540,0.825291,197.17864046,1655.79,-1.68439,0.998414,39.679,363,-0.803171259866,0.795529,901000,4120.3529739700225,0.00657337,37117.7,6.53697e+07,-1.14134,-1.0,37585.3,18.6952,-1.03936,807933.282979,295.473842677,159360.067722,694.626,18000,86765.255985,4.89797,13792.7396819,46877.4,0.316568,50.1611859245,17,49.432,1917.83,165978.0,-0.149095,2.0,97.43974671699834,106.61718145899431,-1.0,304032.0,23444.9469119,572.650689501,-9.53185672299,-1400.37714998,2711.66983366,1139.39448226,47356.9,-0.177976,7421.76460835,0.0037260209210217,2711.66983366,-44.0304
1.0,229.55241523400036,-84.3001113475,-0.952571,2.22663e+06,4.81559,248063.0,-16.8705,3527.24,25.516351770002075,1573.9757808,364.572,10.493171872,-37098.2,0.999999,0.0006207910482771695,6903,0.822167,156.215573217,2111.55,-4.0119,1.01385,46.4559,363,-0.652252566598,0.791611,951000,4349.841834810026,0.00237972,36723.7,1.08697e+08,-0.682435,-0.999997,38069.1,19.192,0.764643,248454.473584,6146.30919144,45048.9449056,143.386,19000,16778.1139178,6.32023,5934.40179711,46744.9,0.684229,28.7580991822,18,42.0429,2596.13,214122.0,-0.0623084,2.0,97.23977661299796,106.79628685100033,-1.0,20938.0,14790.4835067,110.735551857,-10.6158159269,-1425.69068177,1573.9757808,367.591849498,47489.3,-0.137282,4146.39256467,0.006207910366356373,1573.9757808,-32.453
1.0,228.26572317300088,-117.742213861,-0.870725,142155.0,4.33021,228458.0,-38.2017,2014.27,25.45321846099978,354.033488455,487.039,2.36022325636,-39318.4,1.0,4.15711801906582e-05,7266,0.839379,167.300191533,2848.94,-3.9309,1.0016,48.3444,363,-1.04870158622,0.851767,1001000,4577.988742629028,0.00241216,38680.9,4.76952e+07,-0.870136,-1.0,39405.8,19.3399,2.73108,233174.385665,162.223250396,72346.2983312,264.3,20000,38075.4083156,6.40782,2353.32628539,48283.1,0.801156,15.7431879876,19,34.9271,3136.65,224291.0,-0.099461,2.0,96.75072469800216,106.06178001399894,-1.0,20409.6,4301.52526703,251.297694883,-11.2723961947,-1473.12468286,354.033488455,502.095642976,48733.7,-0.0968489,1015.66629,0.0004157117800787091,354.033488455,-25.1884
